,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
ENSG00000108352,4126.289667,-1.617819803,0.303985609,-5.322027612,1.03E-07,3.54E-06,RAPGEFL1
ENSG00000143110,178.0704438,2.474430755,0.46498374,5.321542548,1.03E-07,3.54E-06,C1orf162
ENSG00000150593,14072.21154,-1.650501041,0.310186401,-5.320997425,1.03E-07,3.54E-06,PDCD4
ENSG00000136457,191.2186281,-3.523454064,0.662399912,-5.319224836,1.04E-07,3.57E-06,CHAD
ENSG00000008323,3711.287369,-1.510470773,0.284159451,-5.315574645,1.06E-07,3.63E-06,PLEKHG6
ENSG00000137501,9386.259056,-1.82741516,0.344076903,-5.311066057,1.09E-07,3.71E-06,SYTL2
ENSG00000215375,109.3334946,-1.21835211,0.229397568,-5.311094268,1.09E-07,3.71E-06,MYL5
ENSG00000168679,200.3471955,2.145514045,0.404063549,5.309843098,1.10E-07,3.72E-06,SLC16A4
ENSG00000125810,3938.909521,3.276233121,0.616983439,5.31008276,1.10E-07,3.72E-06,CD93
ENSG00000167968,20.76650578,-2.481523305,0.467506762,-5.307994466,1.11E-07,3.75E-06,DNASE1L2
ENSG00000083454,423.0479769,1.64454167,0.309909308,5.306525575,1.12E-07,3.77E-06,P2RX5
ENSG00000157601,2672.832524,2.770366535,0.522039872,5.306810235,1.12E-07,3.77E-06,MX1
ENSG00000155966,121.2588957,3.053710809,0.575954046,5.302004262,1.15E-07,3.85E-06,AFF2
ENSG00000185404,897.6402059,0.955040789,0.180220223,5.299298676,1.16E-07,3.90E-06,SP140L
ENSG00000181626,45.83518182,-6.264499738,1.18256207,-5.297396133,1.17E-07,3.93E-06,ANKRD62
ENSG00000168970,90.61855621,-1.379959255,0.260776448,-5.291732698,1.21E-07,4.05E-06,JMJD7-PLA2G4B
ENSG00000136167,9567.656779,2.240079044,0.423414945,5.290505383,1.22E-07,4.07E-06,LCP1
ENSG00000086696,2147.408686,-1.930423077,0.364916157,-5.290045509,1.22E-07,4.07E-06,HSD17B2
ENSG00000128512,1046.931265,2.162082133,0.408849278,5.288213158,1.24E-07,4.10E-06,DOCK4
